question_id,lang,bert_score_f1,bleurt,exact_match,meteor,moverscore,rouge_l,sbert,smile_avg,smile_hm
en_1,en,0.9656467437744141,0.792725145816803,0.0,0.9221311475409837,0.0,0.6666666666666666,0.9491636753082275,0.9637928754091263,0.9637805999638619
en_2,en,0.9392001628875732,0.4955494999885559,0.0,0.75,0.0,0.5,0.7775781154632568,0.8956666588783264,0.8835131742791956
ar_1,ar,0.8004150986671448,0.5589442253112793,0.0,0.5994897959183674,0.0,0.0,0.81523597240448,0.8719037600925991,0.8682207565344019
ar_2,ar,0.7719174027442932,0.2958400547504425,0.0,0.49442457395329265,0.0,0.0,0.10033977776765823,0.5501694977283478,0.18237847846336436
ja_1,ja,0.728736400604248,0.3971228301525116,0.0,0.6696428571428572,0.0,0.0,0.8181543350219727,0.9090770781040192,0.899983300019981
ja_2,ja,0.6656203269958496,0.5163877010345459,0.0,0.8979985955056181,0.0,1.0,0.6434895396232605,0.7904947996139526,0.7631568222469975
ko_1,ko,0.7189611792564392,0.4148867726325989,0.0,0.6048387096774195,0.0,0.0,0.8437889218330383,0.9218944609165192,0.9152771460467086
ru_1,ru,0.7580486536026001,0.3750314712524414,0.0,0.3846153846153847,0.0,0.0,0.7876620292663574,0.8938310146331787,0.8812202937370749
fi_1,fi,0.7376955151557922,0.6955852508544922,0.0,0.3846153846153847,0.0,0.33333333333333337,0.8673020601272583,0.9336510598659515,0.928936041540429
bn_1,bn,0.7358153462409973,0.680683970451355,0.0,0.3508771929824561,0.0,0.0,0.6880663633346558,0.8440332114696503,0.815212476234827
te_1,te,0.8267806768417358,0.6180556416511536,0.0,0.849122807017544,0.0,0.0,0.8444496393203735,0.8722248494625091,0.8713403730583856
SUMMARY_AR,ar,0.786166250705719,0.4273921400308609,0.0,0.54695718493583,0.0,0.0,0.4577878750860691,0.7110366289104735,0.5252996174988831
SUMMARY_BN,bn,0.7358153462409973,0.680683970451355,0.0,0.3508771929824561,0.0,0.0,0.6880663633346558,0.8440332114696503,0.815212476234827
SUMMARY_EN,en,0.9524234533309937,0.6441373229026794,0.0,0.8360655737704918,0.0,0.5833333333333333,0.8633708953857422,0.9297297671437263,0.9236468871215288
SUMMARY_FI,fi,0.7376955151557922,0.6955852508544922,0.0,0.3846153846153847,0.0,0.33333333333333337,0.8673020601272583,0.9336510598659515,0.928936041540429
SUMMARY_JA,ja,0.6971783638000488,0.45675526559352875,0.0,0.7838207263242376,0.0,0.5,0.7308219373226166,0.8497859388589859,0.8315700611334893
SUMMARY_KO,ko,0.7189611792564392,0.4148867726325989,0.0,0.6048387096774195,0.0,0.0,0.8437889218330383,0.9218944609165192,0.9152771460467086
SUMMARY_RU,ru,0.7580486536026001,0.3750314712524414,0.0,0.3846153846153847,0.0,0.0,0.7876620292663574,0.8938310146331787,0.8812202937370749
SUMMARY_TE,te,0.8267806768417358,0.6180556416511536,0.0,0.849122807017544,0.0,0.0,0.8444496393203735,0.8722248494625091,0.8713403730583856
AGGREGATE_SUMMARY,all,0.7862579551610079,0.5309829603541981,0.0,0.6279778589972098,0.0,0.22727272727272727,0.7395664026791399,0.8587944787431073,0.8157290420113843
